accuracy_on_parsed,accuracy_strict,batch_size,budget,demo_count,eval_examples,eval_row_ids_hash,eval_split,grad_accum,inference_runtime_sec,job_id,label_names,lora_config,loss_first,loss_last,macro_f1_on_parsed,method,model_id,model_load_sec,parser_failures,parser_success,runtime_sec,seed,status,task,train_demo_row_ids,train_examples,train_row_ids,train_runtime_sec
0.5,0.5,,0,0,256,49ddc54b010419fcfa7246e788fb7b125a654772fdafcf3ffe1c6eefb5cb9f2d,validation,,,icl__qwen3-0_6b__mrpc__n0__seed13,"['not_equivalent', 'equivalent']",,,,0.3333333333333333,ICL,Qwen/Qwen3-0.6B,,0,1.0,29.233655488002114,13,PASS,mrpc,[],,,
0.5,0.5,,0,0,256,6027f8c6212fab89370a3e77705d9eee734c83fa9eaa662c71054990ebdad502,validation,,,icl__qwen3-0_6b__mrpc__n0__seed21,"['not_equivalent', 'equivalent']",,,,0.3333333333333333,ICL,Qwen/Qwen3-0.6B,,0,1.0,28.794035954997526,21,PASS,mrpc,[],,,
0.5,0.5,,0,0,256,cc415c8e50765e5d0b0d28d5170e4c222739281cd05889e819a03d66934a1079,validation,,,icl__qwen3-0_6b__mrpc__n0__seed42,"['not_equivalent', 'equivalent']",,,,0.3333333333333333,ICL,Qwen/Qwen3-0.6B,,0,1.0,28.62229092599955,42,PASS,mrpc,[],,,
0.67578125,0.67578125,,16,16,256,49ddc54b010419fcfa7246e788fb7b125a654772fdafcf3ffe1c6eefb5cb9f2d,validation,,,icl__qwen3-0_6b__mrpc__n16__seed13,"['not_equivalent', 'equivalent']",,,,0.6739854238588416,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.46778953499961,13,PASS,mrpc,"['train:2511', 'train:881', 'train:1780', 'train:1289', 'train:899', 'train:909', 'train:1456', 'train:1154', 'train:942', 'train:531', 'train:3467', 'train:1277', 'train:1546', 'train:1011', 'train:2005', 'train:1593']",,,
0.6171875,0.6171875,,16,16,256,6027f8c6212fab89370a3e77705d9eee734c83fa9eaa662c71054990ebdad502,validation,,,icl__qwen3-0_6b__mrpc__n16__seed21,"['not_equivalent', 'equivalent']",,,,0.6044150110375276,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.63458217099833,21,PASS,mrpc,"['train:755', 'train:3686', 'train:3077', 'train:382', 'train:1138', 'train:3223', 'train:1899', 'train:2755', 'train:3249', 'train:2884', 'train:4073', 'train:1139', 'train:3475', 'train:1486', 'train:1938', 'train:2971']",,,
0.6796875,0.6796875,,16,16,256,cc415c8e50765e5d0b0d28d5170e4c222739281cd05889e819a03d66934a1079,validation,,,icl__qwen3-0_6b__mrpc__n16__seed42,"['not_equivalent', 'equivalent']",,,,0.6752274274398169,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.546089311003016,42,PASS,mrpc,"['train:717', 'train:1696', 'train:400', 'train:949', 'train:757', 'train:3693', 'train:4072', 'train:3255', 'train:951', 'train:169', 'train:1888', 'train:684', 'train:1530', 'train:20', 'train:2232', 'train:2766']",,,
0.5,0.5,,1,1,256,49ddc54b010419fcfa7246e788fb7b125a654772fdafcf3ffe1c6eefb5cb9f2d,validation,,,icl__qwen3-0_6b__mrpc__n1__seed13,"['not_equivalent', 'equivalent']",,,,0.3333333333333333,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.866802032000123,13,PASS,mrpc,['train:1780'],,,
0.6328125,0.6328125,,1,1,256,6027f8c6212fab89370a3e77705d9eee734c83fa9eaa662c71054990ebdad502,validation,,,icl__qwen3-0_6b__mrpc__n1__seed21,"['not_equivalent', 'equivalent']",,,,0.6326106870229007,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.214999618001457,21,PASS,mrpc,['train:1138'],,,
0.5,0.5,,1,1,256,cc415c8e50765e5d0b0d28d5170e4c222739281cd05889e819a03d66934a1079,validation,,,icl__qwen3-0_6b__mrpc__n1__seed42,"['not_equivalent', 'equivalent']",,,,0.3333333333333333,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.36136580099992,42,PASS,mrpc,['train:757'],,,
0.64453125,0.64453125,,2,2,256,49ddc54b010419fcfa7246e788fb7b125a654772fdafcf3ffe1c6eefb5cb9f2d,validation,,,icl__qwen3-0_6b__mrpc__n2__seed13,"['not_equivalent', 'equivalent']",,,,0.6444824270911227,ICL,Qwen/Qwen3-0.6B,,0,1.0,23.65402902900314,13,PASS,mrpc,"['train:3467', 'train:1780']",,,
